no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,1,0,1,224,10,0,0,0,0,65.0,0,0
2,0,2,3,0,0,1,5,11,1,0,0,0,106.68,1,0
1,0,2,1,1,0,1,1,2,1,0,0,0,60.0,0,1
2,0,0,2,1,0,1,211,5,1,0,0,0,100.0,0,1
2,0,1,1,0,0,1,48,4,1,0,0,0,94.5,0,1
2,0,0,2,2,0,1,346,9,1,0,0,0,115.0,1,1
2,0,1,3,1,0,1,34,10,1,0,0,0,107.55,1,0
2,0,1,3,1,0,4,83,12,1,0,0,0,105.61,1,0
3,0,0,4,1,0,1,121,7,0,0,0,0,96.9,1,0
2,0,0,5,1,0,4,44,10,1,0,0,0,133.44,3,0
1,0,1,0,0,0,1,0,9,1,0,0,0,85.03,0,0
1,0,2,1,1,0,4,35,4,1,0,0,0,140.4,1,0
2,0,2,1,0,0,1,30,11,1,0,0,0,88.0,0,1
1,0,2,0,1,0,1,95,11,1,0,0,0,90.0,2,1
2,0,0,2,1,0,1,47,10,1,0,0,0,94.5,2,0
2,0,0,2,2,0,1,256,6,1,0,0,0,115.0,1,1
1,0,1,0,1,0,1,0,10,0,0,0,0,96.0,0,0
2,0,1,3,0,0,1,1,8,1,0,0,0,96.0,1,0
2,0,2,2,1,0,1,99,10,1,0,0,0,65.0,0,1
2,0,1,0,1,0,1,12,10,0,0,0,0,72.0,0,0
2,0,2,2,1,0,1,99,10,1,0,0,0,65.0,0,1
1,0,0,1,1,0,1,122,11,2,0,0,0,67.0,0,0
2,0,2,4,1,0,1,2,3,0,0,0,0,85.0,0,0
2,0,0,3,1,0,1,37,10,0,0,0,0,105.0,0,0
2,0,2,1,0,0,1,130,5,1,0,0,0,94.5,1,0
2,0,0,2,1,0,1,99,4,1,0,0,0,114.3,1,0
2,0,1,1,1,0,1,60,9,0,0,0,0,65.0,0,0
1,0,0,2,1,0,4,2,5,3,0,0,0,110.0,0,1
1,0,1,2,1,0,1,37,11,1,0,0,0,37.33,0,1
2,0,0,2,2,0,1,56,9,0,0,0,0,82.0,0,0
2,0,1,1,1,0,4,3,9,1,0,0,0,177.5,1,0
2,0,2,2,1,0,1,107,11,1,0,0,0,87.5,1,0
0,2,0,3,1,0,2,56,12,1,0,0,0,82.44,1,0
2,0,0,1,0,0,1,2,1,1,0,0,0,69.5,1,0
2,0,0,2,1,0,1,72,10,0,0,0,0,85.5,0,0
2,0,0,1,0,1,1,23,4,1,0,0,0,115.0,1,0
1,0,2,1,1,0,1,34,6,1,0,0,0,81.0,0,1
2,0,0,1,1,0,1,289,10,0,0,0,0,67.0,0,0
2,0,2,3,0,0,1,247,11,1,0,0,0,63.75,0,1
2,0,2,1,1,0,4,186,7,1,0,0,0,121.8,1,1
2,0,0,4,1,0,1,64,11,1,0,0,0,93.6,2,0
2,0,0,2,1,0,1,35,6,1,0,0,0,102.0,1,0
3,0,2,1,1,0,1,96,4,1,0,0,0,121.8,1,0
2,0,1,1,0,0,1,41,6,1,0,0,0,98.1,1,1
2,0,0,4,1,0,4,55,11,0,0,0,0,60.0,1,0
2,0,0,3,1,0,1,146,12,0,0,0,0,75.0,0,0
